Issue ID,Description,State,Severity,Story Points,Project Path,Location Kind,Path,Line,Column,Incident ID,Help Link,Assembly Name,Assembly Version,Assembly Public Key,Snippet
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.AspNetCore.Authentication.JwtBearer 7.0.14,,,,,"Microsoft.AspNetCore.Authentication.JwtBearer, 7.0.14  Recommendation:  Remove Microsoft.AspNetCore.Authentication.JwtBearer, and replace with new package Microsoft.AspNetCore.Authentication.JwtBearer 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.AspNetCore.Mvc.NewtonsoftJson 7.0.14,,,,,"Microsoft.AspNetCore.Mvc.NewtonsoftJson, 7.0.14  Recommendation:  Remove Microsoft.AspNetCore.Mvc.NewtonsoftJson, and replace with new package Microsoft.AspNetCore.Mvc.NewtonsoftJson 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.AspNetCore.SignalR.Protocols.NewtonsoftJson 7.0.14,,,,,"Microsoft.AspNetCore.SignalR.Protocols.NewtonsoftJson, 7.0.14  Recommendation:  Remove Microsoft.AspNetCore.SignalR.Protocols.NewtonsoftJson, and replace with new package Microsoft.AspNetCore.SignalR.Protocols.NewtonsoftJson 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.EntityFrameworkCore 7.0.14,,,,,"Microsoft.EntityFrameworkCore, 7.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore, and replace with new package Microsoft.EntityFrameworkCore 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.EntityFrameworkCore.Design 7.0.14,,,,,"Microsoft.EntityFrameworkCore.Design, 7.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore.Design, and replace with new package Microsoft.EntityFrameworkCore.Design 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.EntityFrameworkCore.Proxies 7.0.14,,,,,"Microsoft.EntityFrameworkCore.Proxies, 7.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore.Proxies, and replace with new package Microsoft.EntityFrameworkCore.Proxies 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.EntityFrameworkCore.SqlServer 7.0.14,,,,,"Microsoft.EntityFrameworkCore.SqlServer, 7.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore.SqlServer, and replace with new package Microsoft.EntityFrameworkCore.SqlServer 10.0.1"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.EntityFrameworkCore.Tools 7.0.14,,,,,"Microsoft.EntityFrameworkCore.Tools, 7.0.14  Recommendation:  Remove Microsoft.EntityFrameworkCore.Tools, and replace with new package Microsoft.EntityFrameworkCore.Tools 10.0.1"
NuGet.0001,NuGet package is incompatible,Active,Mandatory,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.VisualStudio.Azure.Containers.Tools.Targets 1.19.6,,,,,"Microsoft.VisualStudio.Azure.Containers.Tools.Targets, 1.19.6  Recommendation:  No supported version found"
NuGet.0002,NuGet package upgrade is recommended,Active,Potential,1,RiftARENA\RiftARENA.csproj,File,RiftARENA\RiftARENA.csproj,,,Microsoft.VisualStudio.Web.CodeGeneration.Design 7.0.11,,,,,"Microsoft.VisualStudio.Web.CodeGeneration.Design, 7.0.11  Recommendation:  Remove Microsoft.VisualStudio.Web.CodeGeneration.Design, and replace with new package Microsoft.VisualStudio.Web.CodeGeneration.Design 10.0.1"
